No,Date,Workout,Duration
641,2018-10-03,Chest,33
642,2018-10-04,Back,36
643,2018-10-05,Running,36
644,2018-10-06,Chest,35
645,2018-10-07,Back,21
646,2018-10-08,Chest,36
647,2018-10-09,Running,42
648,2018-10-10,Bouldering,35
649,2018-10-11,Back,37
650,2018-10-12,Running,45
651,2018-10-13,Bouldering,33
652,2018-10-14,Legs,23
653,2018-10-15,Chest,39
654,2018-10-16,Running,46
655,2018-10-17,Bouldering,35
656,2018-10-18,Back,38
657,2018-10-19,Running,45
658,2018-10-20,Bouldering,35
659,2018-10-21,Legs,25
660,2018-10-22,Chest,38
661,2018-10-23,Running,44
662,2018-10-24,Bouldering,35
663,2018-10-25,Back,34
664,2018-10-26,Running,42
665,2018-10-27,Bouldering,35
666,2018-10-28,Legs,29
667,2018-10-29,Chest,39
668,2018-10-30,Running,43
669,2018-10-31,Back,37
670,2018-11-01,Running,40
671,2018-11-02,Compound,40
672,2018-11-03,Bouldering,35
673,2018-11-04,Bouldering,36
674,2018-11-05,Chest,41
675,2018-11-06,Running,45
676,2018-11-07,Back,39
677,2018-11-08,Compound,39
678,2018-11-09,Rest,0
679,2018-11-10,Bouldering,40
680,2018-11-11,Bouldering,38
681,2018-11-12,Chest,38
682,2018-11-13,Running,46
683,2018-11-14,Back,36
684,2018-11-15,Compound,48
685,2018-11-16,Rest,0
686,2018-11-17,Bouldering,35
687,2018-11-18,Bouldering,40
688,2018-11-19,Chest,40
689,2018-11-20,Running,46
690,2018-11-21,Back,42
691,2018-11-22,Bouldering,44
692,2018-11-23,Compound,48
693,2018-11-24,Compound,48
694,2018-11-25,Bouldering,35
695,2018-11-26,Rest,0
696,2018-11-27,Chest,40
697,2018-11-28,Back,47
698,2018-11-29,Rest,0
699,2018-11-30,Compound,52
700,2018-12-01,Running,61
701,2018-12-02,Bouldering,43
702,2018-12-03,Chest,45
703,2018-12-04,Back,43
704,2018-12-05,Bouldering,43
705,2018-12-06,Chest,46
706,2018-12-07,Back,45
707,2018-12-08,Compound,56
708,2018-12-09,Chest,47
709,2018-12-10,Back,45
710,2018-12-11,Compound,49
711,2018-12-12,Chest,48
712,2018-12-13,Back,46
713,2018-12-14,Compound,51
714,2018-12-15,Rest,0
715,2018-12-16,Rest,0
716,2018-12-17,Multisport,58
717,2018-12-18,Multisport,56
718,2018-12-19,Chest,49
719,2018-12-20,Back,52
720,2018-12-21,Multisport,59
721,2018-12-22,Chest,47
722,2018-12-23,Back,50
723,2018-12-24,Multisport,45
724,2018-12-25,Rest,0
725,2018-12-26,Multisport,59
726,2018-12-27,Chest,39
727,2018-12-28,Back,53
728,2018-12-29,Multisport,53
729,2018-12-30,Back,45
730,2018-12-31,Chest,49
731,2019-01-01,Rest,0
732,2019-01-02,Multisport,39
733,2019-01-03,Chest,49
734,2019-01-04,Back,48
735,2019-01-05,Multisport,50
736,2019-01-06,Multisport,45
737,2019-01-07,Rest,0
738,2019-01-08,Multisport,46
739,2019-01-09,Rest,0
740,2019-01-10,Multisport,47
741,2019-01-11,Rest,0
742,2019-01-12,Multisport,45
743,2019-01-13,Multisport,49
744,2019-01-14,Multisport,48
745,2019-01-15,Rest,0
746,2019-01-16,Back,45
747,2019-01-17,Chest,45
748,2019-01-18,Compound,45
749,2019-01-19,Back,39
750,2019-01-20,Chest,47
751,2019-01-21,Compound,50
752,2019-01-22,Back,47
753,2019-01-23,Chest,48
754,2019-01-24,Compound,45
755,2019-01-25,Rest,0
756,2019-01-26,Compound,40
757,2019-01-27,Rest,0
758,2019-01-28,Chest,45
759,2019-01-29,Back,50
760,2019-01-30,Legs,25
761,2019-01-31,Compound,44
762,2019-02-01,Rest,0
763,2019-02-02,Chest,54
764,2019-02-03,Back,46
765,2019-02-04,Legs,30
766,2019-02-05,Compound,45
767,2019-02-06,Chest,46
768,2019-02-07,Back,47
769,2019-02-08,Legs,27
770,2019-02-09,Compound,45
771,2019-02-10,Chest,48
772,2019-02-11,Back,48
773,2019-02-12,Legs,33
774,2019-02-13,Compound,45
775,2019-02-14,Rest,0
776,2019-02-15,Compound,45
777,2019-02-16,Rest,0
778,2019-02-17,Chest,45
779,2019-02-18,Back,50
780,2019-02-19,Legs,28
781,2019-02-20,Compound,47
782,2019-02-21,Chest,47
783,2019-02-22,Back,46
784,2019-02-23,Legs,26
785,2019-02-24,Compound,47
786,2019-02-25,Chest,41
787,2019-02-26,Back,41
788,2019-02-27,Compound,44
789,2019-02-28,Rest,0
790,2019-03-01,Chest,44
791,2019-03-02,Back,44
792,2019-03-03,Legs,26
793,2019-03-04,Multisport,41
794,2019-03-05,Multisport,40
795,2019-03-06,Back,43
796,2019-03-07,Compound,37
797,2019-03-08,Chest,40
798,2019-03-09,Back,42
799,2019-03-10,Compound,41
800,2019-03-11,Legs,27
801,2019-03-12,Chest,42
802,2019-03-13,Back,43
803,2019-03-14,Legs,24
804,2019-03-15,Compound,44
805,2019-03-16,Rest,0
806,2019-03-17,Rest,0
807,2019-03-18,Chest,44
808,2019-03-19,Back,38
809,2019-03-20,Chest,43
810,2019-03-21,Back,42
811,2019-03-22,Compound,39
812,2019-03-23,Rest,0
813,2019-03-24,Chest,50
814,2019-03-25,Back,50
815,2019-03-26,Chest,50
816,2019-03-27,Back,49
817,2019-03-28,Chest,43
818,2019-03-29,Back,50
819,2019-03-30,Chest,48
820,2019-03-31,Basketball,60
821,2019-04-01,Back,48
822,2019-04-02,Chest,44
823,2019-04-03,Back,48
824,2019-04-04,Chest,42
825,2019-04-05,Back,46
826,2019-04-06,Basketball,120
827,2019-04-07,Chest,35
828,2019-04-08,Back,42
829,2019-04-09,Chest,46
830,2019-04-10,Back,43
831,2019-04-11,Chest,37
832,2019-04-12,Back,46
833,2019-04-13,Rest,0
834,2019-04-14,Rest,0
835,2019-04-15,Chest,49
836,2019-04-16,Back,48
837,2019-04-17,Chest,53
838,2019-04-18,Back,50
839,2019-04-19,Rest,0
840,2019-04-20,Chest,51
841,2019-04-21,Back,51
842,2019-04-22,Chest,54
843,2019-04-23,Back,49
844,2019-04-24,Rest,0
845,2019-04-25,Chest,43
846,2019-04-26,Back,43
847,2019-04-27,Chest,44
848,2019-04-28,Back,38
849,2019-04-29,Chest,46
850,2019-04-30,Back,39
851,2019-05-01,Rest,0
852,2019-05-02,Chest,41
853,2019-05-03,Back,37
854,2019-05-04,Chest,39
855,2019-05-05,Back,39
856,2019-05-06,Running,32
857,2019-05-07,Chest,39
858,2019-05-08,Rest,0
859,2019-05-09,Back,41
860,2019-05-10,Chest,43
861,2019-05-11,Rest,0
862,2019-05-12,Back,39
863,2019-05-13,Running,40
864,2019-05-14,Chest,40
865,2019-05-15,Back,37
866,2019-05-16,Running,38
867,2019-05-17,Chest,44
868,2019-05-18,Back,39
869,2019-05-19,Running,41
870,2019-05-20,Chest,43
871,2019-05-21,Back,41
872,2019-05-22,Running,41
873,2019-05-23,Chest,41
874,2019-05-24,Back,40
875,2019-05-25,Legs,33
